title;IMAS
subtit;Índice de mercado dos títulos públicos atrelados a Selic
dfont;ANBIMA
vtype;perc
decimal;2
mult;1
divshow;1
group;1
yref;0
blk_dx;80
period;month
date_type;dd_mm_yyyy
;
;
;
;
;
data;begin
x;y
30/03/2006;1194.518319
31/03/2006;1195.246734
03/04/2006;1195.975869
04/04/2006;1196.698981
05/04/2006;1197.422058
06/04/2006;1198.14333
07/04/2006;1198.871122
10/04/2006;1199.588425
11/04/2006;1200.308711
12/04/2006;1201.03236
13/04/2006;1201.76001
17/04/2006;1202.490957
18/04/2006;1203.222267
19/04/2006;1203.953516
20/04/2006;1204.679905
24/04/2006;1205.376854
25/04/2006;1206.07343
26/04/2006;1206.77435
27/04/2006;1207.474003
28/04/2006;1208.168896
02/05/2006;1208.8664
03/05/2006;1209.566105
04/05/2006;1210.265759
05/05/2006;1210.969631
08/05/2006;1211.672537
09/05/2006;1212.375929
10/05/2006;1213.08145
11/05/2006;1213.785685
12/05/2006;1214.488485
15/05/2006;1215.192056
16/05/2006;1215.898176
17/05/2006;1216.604269
18/05/2006;1217.30516
19/05/2006;1218.005922
22/05/2006;1218.709446
23/05/2006;1219.414153
24/05/2006;1220.116963
25/05/2006;1220.821483
26/05/2006;1221.526747
29/05/2006;1222.233346
30/05/2006;1222.939132
31/05/2006;1223.644626
01/06/2006;1224.353927
02/06/2006;1225.03838
05/06/2006;1225.727279
06/06/2006;1226.417693
07/06/2006;1227.107512
08/06/2006;1227.795543
09/06/2006;1228.481316
12/06/2006;1229.172112
13/06/2006;1229.861553
14/06/2006;1230.553952
16/06/2006;1231.245766
19/06/2006;1231.937673
20/06/2006;1232.629627
21/06/2006;1233.32145
22/06/2006;1234.013223
23/06/2006;1234.705368
26/06/2006;1235.39842
27/06/2006;1236.093297
28/06/2006;1236.786674
29/06/2006;1237.481228
30/06/2006;1238.175085
03/07/2006;1238.870215
04/07/2006;1239.563064
05/07/2006;1240.256823
06/07/2006;1240.950273
07/07/2006;1241.649195
10/07/2006;1242.34801
11/07/2006;1243.042618
12/07/2006;1243.737919
13/07/2006;1244.430855
14/07/2006;1245.127047
17/07/2006;1245.823641
18/07/2006;1246.519096
19/07/2006;1247.218956
20/07/2006;1247.916064
21/07/2006;1248.592982
24/07/2006;1249.272409
25/07/2006;1249.949576
26/07/2006;1250.626997
27/07/2006;1251.308984
28/07/2006;1251.988119
31/07/2006;1252.668028
01/08/2006;1253.348692
02/08/2006;1254.028947
03/08/2006;1254.709616
04/08/2006;1255.392
07/08/2006;1256.073532
08/08/2006;1256.755302
09/08/2006;1257.437467
10/08/2006;1258.119717
11/08/2006;1258.801916
14/08/2006;1259.485906
15/08/2006;1260.170479
16/08/2006;1260.854265
17/08/2006;1261.539726
18/08/2006;1262.224657
21/08/2006;1262.913842
22/08/2006;1263.602377
23/08/2006;1264.28623
24/08/2006;1264.972114
25/08/2006;1265.658461
28/08/2006;1266.346181
29/08/2006;1267.034646
30/08/2006;1267.722262
31/08/2006;1268.409819
01/09/2006;1269.076128
04/09/2006;1269.743965
05/09/2006;1270.410441
06/09/2006;1271.0792
08/09/2006;1271.748174
11/09/2006;1272.417287
12/09/2006;1273.087718
13/09/2006;1273.757404
14/09/2006;1274.428443
15/09/2006;1275.098825
18/09/2006;1275.770183
19/09/2006;1276.440413
20/09/2006;1277.110315
21/09/2006;1277.781297
22/09/2006;1278.453763
25/09/2006;1279.125073
26/09/2006;1279.796568
27/09/2006;1280.468634
28/09/2006;1281.140995
29/09/2006;1281.814071
02/10/2006;1282.486842
03/10/2006;1283.159993
04/10/2006;1283.833869
05/10/2006;1284.508925
06/10/2006;1285.184216
09/10/2006;1285.859728
10/10/2006;1286.535039
11/10/2006;1287.211062
13/10/2006;1287.891428
16/10/2006;1288.567904
17/10/2006;1289.245969
18/10/2006;1289.923834
19/10/2006;1290.600861
20/10/2006;1291.255951
23/10/2006;1291.910562
24/10/2006;1292.567061
25/10/2006;1293.224841
26/10/2006;1293.881154
27/10/2006;1294.538321
30/10/2006;1295.195954
31/10/2006;1295.854194
01/11/2006;1296.514144
03/11/2006;1297.172636
06/11/2006;1297.831897
07/11/2006;1298.493559
08/11/2006;1299.155361
09/11/2006;1299.816717
10/11/2006;1300.47821
13/11/2006;1301.138968
14/11/2006;1301.799361
16/11/2006;1302.461265
17/11/2006;1303.122759
20/11/2006;1303.784937
21/11/2006;1304.446287
22/11/2006;1305.107583
23/11/2006;1305.768562
24/11/2006;1306.431452
27/11/2006;1307.095337
28/11/2006;1307.758595
29/11/2006;1308.423521
30/11/2006;1309.088751
01/12/2006;1309.731743
04/12/2006;1310.375583
05/12/2006;1311.019819
06/12/2006;1311.664295
07/12/2006;1312.309306
08/12/2006;1312.952256
11/12/2006;1313.597545
12/12/2006;1314.243196
13/12/2006;1314.889102
14/12/2006;1315.534988
15/12/2006;1316.181392
18/12/2006;1316.828276
19/12/2006;1317.475172
20/12/2006;1318.123151
21/12/2006;1318.772531
22/12/2006;1319.421114
26/12/2006;1320.069534
27/12/2006;1320.718904
28/12/2006;1321.367839
29/12/2006;1322.01743
02/01/2007;1322.666774
03/01/2007;1323.317223
04/01/2007;1323.967521
05/01/2007;1324.618465
08/01/2007;1325.269555
09/01/2007;1325.924331
10/01/2007;1326.577249
11/01/2007;1327.228807
12/01/2007;1327.881433
15/01/2007;1328.533831
16/01/2007;1329.185798
17/01/2007;1329.83963
18/01/2007;1330.49437
19/01/2007;1331.148439
22/01/2007;1331.802648
23/01/2007;1332.457147
24/01/2007;1333.112415
25/01/2007;1333.767124
26/01/2007;1334.413236
29/01/2007;1335.059246
30/01/2007;1335.705494
31/01/2007;1336.35094
01/02/2007;1336.996064
02/02/2007;1337.641254
05/02/2007;1338.285654
06/02/2007;1338.930718
07/02/2007;1339.576872
08/02/2007;1340.222676
09/02/2007;1340.868878
12/02/2007;1341.515802
13/02/2007;1342.163104
14/02/2007;1342.811218
15/02/2007;1343.458347
16/02/2007;1344.105786
21/02/2007;1344.755314
